time,mouse_x,mouse_y
1712572421.257,1287,447
1712572422.259,1287,447
1712572423.262,1287,447
1712572424.263,1287,447
1712572425.265,1287,447
1712572426.268,1287,447
1712572427.270,1287,447
1712572428.272,1287,447
1712572429.275,1287,447
1712572430.276,1287,447
1712572431.278,1287,447
1712572432.280,1287,447
1712572433.282,1287,447
1712572434.284,1287,447
1712572435.285,1287,447
1712572436.287,1287,447
1712572437.289,1287,447
1712572438.291,1287,447
1712572439.292,1287,447
1712572440.294,1287,447
1712572441.296,1287,447
1712572442.298,1287,447
1712572443.300,1287,447
1712572444.302,1287,447
1712572445.304,1287,447
1712572446.306,1287,447
1712572447.317,1287,447
1712572448.319,1287,447
1712572449.321,1287,447
1712572450.323,1287,447
1712572451.325,1287,447
1712572452.327,1287,447
1712572453.329,1287,447
1712572454.331,1287,447
1712572455.333,1287,447
1712572456.335,1287,447
1712572457.336,1287,447
1712572458.339,1287,447
1712572459.341,1287,447
1712572460.344,1287,447
1712572461.346,1287,447
1712572462.348,1287,447
1712572463.350,1287,447
1712572464.352,1287,447
1712572465.354,1287,447
1712572466.356,1287,447
1712572467.367,1287,447
1712572468.368,1287,447
1712572469.370,1287,447
1712572470.372,1287,447
1712572471.376,1287,447
1712572472.379,1287,447
1712572473.381,1287,447
1712572474.383,1287,447
1712572475.385,1287,447
1712572476.387,1287,447
1712572477.389,1287,447
1712572478.391,1287,447
1712572479.393,1287,447
1712572480.395,1287,447
1712572481.397,1287,447
1712572482.410,1287,447
1712572483.412,1287,447
1712572484.414,1287,447
1712572485.417,1287,447
1712572486.418,1287,447
1712572487.420,1287,447
1712572488.422,1287,447
1712572489.424,1287,447
1712572490.425,1287,447
1712572491.427,1287,447
1712572492.429,1287,447
1712572493.431,1287,447
1712572494.433,1287,447
1712572495.435,1287,447
1712572496.437,1287,447
1712572497.439,1287,447
1712572498.441,1287,447
1712572499.443,1287,447
1712572500.445,1287,447
1712572501.457,1287,447
1712572502.460,1287,447
1712572503.462,1287,447
1712572504.464,1287,447
1712572505.465,1287,447
1712572506.467,1287,447
1712572507.469,1287,447
1712572508.471,1287,447
1712572509.473,1287,447
1712572510.476,1287,447
1712572511.477,1287,447
1712572512.479,1287,447
1712572513.481,1287,447
1712572514.483,1287,447
1712572515.485,1287,447
1712572516.487,1287,447
1712572517.488,1287,447
1712572518.490,1287,447
1712572519.492,1287,447
1712572520.494,1287,447
1712572521.496,1287,447
1712572522.511,1068,284
1712572523.512,827,1070
1712572524.514,974,947
1712572525.521,975,946
1712572526.524,1051,723
1712572527.526,1051,722
1712572528.529,1051,722
1712572529.531,1051,722
1712572530.533,1051,709
1712572531.550,1051,709
1712572532.551,1051,709
